"","address","lat","lon"
"127","PIPILA y CUAUHTEMOC,TABACHINES,Zapopan",20.7439361,-103.3652412
"128","PERIFERICO y CARR. A SALTILLO,BENITO JUAREZ,Zapopan",20.7329403,-103.3429291
"129","PLAN DE AYALA y FRANCISCO VILLA,DIVISION DEL NORTE,Zapopan",28.6096317,-106.0349218
"130","RAFAEL VEGA SANCHEZ y CONSTITUYENTES,CONSTITUCION,Zapopan",20.7282792,-103.3627277
"131","SANTA ANA y AV. SANTA MARGARITA,SANTA MARGARITA,Zapopan",20.663701,-103.4496983
"132","OCAMPO y LIBERTAD,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"133","PUERTO MEXICO y PUERTO ACAPULCO,MIRAMAR,Zapopan",20.6383335,-103.4501356
"134","EVA BRISEÑO y 20 DE NOVIEMBRE,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"135","GUELATAO y GUADALAJARA,BENITO JUAREZ,Zapopan",20.7361649,-103.3403382
"136","PRIV. MANZANOS y DURAZNOS,LOMAS DE TABACHINES,Zapopan",20.7485231,-103.3556907
"137","16 DE SEPTIEMBRE y ALLENDE,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"138","MANUEL GARCIA y CARRETERA A NOGALES,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"139","FRANCISCO VILLA  y FRANCISCO I. MADERO,SANTA ANA TEPETITLAN,Zapopan",20.6292253,-103.4552577
"140","FRANCISCO VILLA y FRANCISCO I. MADERO,SANTA ANA TEPETITLAN,Zapopan",20.6292253,-103.4552577
"141","PRIV. MONTES DE OCA y DURAZNO,LOMAS DE TABACHINES,Zapopan",20.750846,-103.3342176
"142","INDEPENDENCIA y ANGULO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"143","OCAMPO y 20 DE ENERO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"144","PROL. AV. TEPEYAC y MEXICAS,JARDINES DEL IXTEPETE,Zapopan",20.6250901,-103.44044
"145","PROL. AV. TEPEYAC y MEXICAS,JARDINES DEL IXTEPETE,Zapopan",20.6250901,-103.44044
"146","PROL. AV. GUADALUPE y LIMON,BALCONES DEL SOL,Zapopan",20.6719563,-103.416501
"147","AV. INDIGENA y ELOTE,MESA COLORADA,Zapopan",20.6719563,-103.416501
"148","ALVARO OBREGON y JUAN PALOMAR,BATAN EL,Zapopan",20.6719563,-103.416501
"149","ALVARO OBREGON y JUAN PALOMAR,BATAN EL,Zapopan",20.6719563,-103.416501
"150","SOR JUANA INES DE LA CRUZ y JUANA DE ARCO,CORONILLA LA,Zapopan",20.6719563,-103.416501
"151","AV. CONCHITA y QUEBRADA,LOMA BONITA,Zapopan",20.6393989,-103.4035
"152","AV. ADOLFO LOPEZ MATEOS y PEGASO,CALMA LA,Zapopan",20.6719563,-103.416501
"153","RAUL ARELLANO y FELIPE ZETTER,PASEOS DEL SOL,Zapopan",20.6719563,-103.416501
"154","CUITLAHUAC y COLON,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"155","CUITLAHUAC y COLON,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"156","AV. SANTA MARGARITA y SANTA MONICA,SANTA MARGARITA,Zapopan",20.728197,-103.4187719
"157","LAZARO CARDENAS y REFORMA,ESTRADA LA,Zapopan",20.6719563,-103.416501
"158","PERIFERICO y INGLATERRA,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"159","PERIFERICO y INGLATERRA,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"160","PERIFERICO y AV. ACUEDUCTO,SANTA MARGARITA,Zapopan",20.7254913,-103.4192452
"161","PERIFERICO y AV. ACUEDUCTO,SANTA MARGARITA,Zapopan",20.7254913,-103.4192452
"162","JUAREZ  y 5 DE MAYO,SANTA ANA TEPETITLAN,Zapopan",20.6243964,-103.4578337
