"","fecha2","calle","cruce","colonia","delito","diaSem","mes","lat","lon"
"63",2014-01-03,"ANAHUAC","SAN FRANCISCO DE SALES","SAN ISIDRO EJIDAL","AMENAZAS","Fri",1,20.7279393,-103.3950227
"64",2014-01-03,"TUL","OZTOTL","MESA COLORADA PONIENTE","ROBO VEHICULO","Fri",1,20.7703225,-103.3428358
"65",2014-01-03,"PARRAL ","OCAMPO","SAN JUAN DE OCOTAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7059379,-103.450983
"66",2014-01-03,"CARR. A NOGALES","CARR. A NEXTIPAC","VENTA DEL ASTILLERO LA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.6719563,-103.416501
"67",2014-01-03,"CARR. A NOGALES","CARR. A NEXTIPAC","VENTA DEL ASTILLERO LA","CONTRA LA SALUD POSESION","Fri",1,20.6719563,-103.416501
"68",2014-01-03,"AV. ADOLFO LOPEZ MATEOS","12 DE DICIEMBRE","FUERA DEL MUNICIPIO","ROBO FARMACIAS GUADALAJARA B-15","Fri",1,20.6719563,-103.416501
"69",2014-01-03,"SERBIA","MACEDONIA","LOMA BLANCA","ROBO CASA HABITACION","Fri",1,20.7149247,-103.3885011
"70",2014-01-03,"SANTA LAURA","PERIFERICO","SANTA MARGARITA","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Fri",1,20.725752,-103.4103047
"71",2014-01-03,"LIC. FELIX PALAVICINI","RAFAEL VEGA SANCHEZ","CONSTITUCION","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Fri",1,20.7307649,-103.3612148
"72",2014-01-03,"PROL. MARIANO OTERO","FRANCISCO I. MADERO","ARENALES TAPATIOS","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.6284851,-103.4571451
"73",2014-01-03,"EJIDO DEL COLLI","ZINAPECUARO","VOLCAN DEL COLLI","VIOLACION LEY GENERAL DE SALUD","Fri",1,20.6646023,-103.4574163
"74",2014-01-03,"RAFAEL VEGA SANCHEZ","LIC. FELIX PALAVICINI","CONSTITUCION","VIOLACION LEY GENERAL DE SALUD","Fri",1,20.7288519,-103.3662088
"75",2014-01-03,"AV. DE LA PATRIA","BLVR. PUERTA DE HIERRO","PLAZA ANDARES","ROBO NEGOCIO CON SEGURIDAD PRIVADA","Fri",1,20.7104951,-103.412672
"76",2014-01-03,"QUIRIGUA","TECON","GUSTAVO DIAZ ORDAZ","VIOLACION LEY GENERAL DE SALUD","Fri",1,20.6205631,-103.4214354
"77",2014-01-03,"HIDALGO","OCAMPO","SAN JUAN DE OCOTAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7039952,-103.4530878
"78",2014-01-03,"HIDALGO","OCAMPO","SAN JUAN DE OCOTAN","VIOLACION LEY GENERAL DE SALUD","Fri",1,20.7039952,-103.4530878
"79",2014-01-03,"AV. SAN CRISTOBAL MAGALLANES","AV. COPALA","LOMAS DE SAN GONZALO","AGRESION FISICA HACIA LAS PERSONAS","Fri",1,20.7060443,-103.4109175
"80",2014-01-03,"5 DE MAYO","PARRAL","SAN JUAN DE OCOTAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7115989,-103.450317
"81",2014-01-03,"ING. ALBERTO MORA LOPEZ","CEREZA","MESA COLORADA","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Fri",1,20.7642929,-103.3382192
"82",2014-01-03,"ING. ALBERTO MORA LOPEZ","CEREZA","MESA COLORADA","CONTRA LA SALUD POSESION","Fri",1,20.7642929,-103.3382192
"83",2014-01-03,"VICENTE GUERRERO","GALEANA","SANTA ANA TEPETITLAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.6236109,-103.4535971
"84",2014-01-03,"VOLCAN AJUSCO ","VOLCAN PICO DE ORIZABA","COLLI EL","CONTRA LA SALUD POSESION","Fri",1,20.6440676,-103.4294099
"85",2014-01-03,"SANTA MERCEDES","AV. JESUS","RESIDENCIAL SANTA MARGARITA","CONTRA LA SALUD POSESION","Fri",1,20.7352746,-103.4216393
"86",2014-01-03,"AV. SANTA LUCIA","LIRIOS","PRADOS DE SANTA LUCIA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7262532,-103.3830009
"87",2014-01-03,"AV. SANTA LUCIA","CARR. A NEXTIPAC","SANTA LUCIA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7262532,-103.3830009
