IdColonia,IdInegi,NomColonia,Habitantes,Mujeres,Hombres,Pob0a14,Pob15a64,Pob18mas,ViviendasHabitadas,PromOcuxVivHab,Fundacion,ColinNorte,ColinSur,ColinOriente,ColinPoniente,ArroyoEntubado,ArroyoInterperie,Cerro,Barranco,CentroCultural,ParquesyJarines,JuegosInfantiles,PlazaCivica,CalleAlumbrado%,CallePavimento%,CalleAdoquin%,CalleEmpedrado%,CalleTerraceria%,VivAguaPot%,VivDrenaje%,VivFosaSep%,VivElectricidad%,RutasTransporte,OficinaCorreo,RegistroCivil,DeleAgencia,Cementerio,ModuloPoli,PatrullasColonia,PlumaIngresos,PobRelCatolica%,CP,ZonaC,Sele
75,058-F,"Ciudad de los Niños, Fraccionamiento",1918,1030,887,318,1421,1528,737,3.98,,Camino Real,"Prados Tepeyac, Ciudad del Sol",Chapalita Oriente,"Tepeyac Casino, Jardines Tepeyac",FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,95,5,0,0,99.40000153,99.40000153,0,99.59999847,"249, 358, 51 y Turqueza.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45040,5A,0
76,059-L,Ciudad del Sol,4476,2364,2089,788,3066,3525,1739,4.3600000000000003,En 1957,"Chapalita Sur, Cd. De los Niños",La Giralda,"Rinconada del Sol, Plaza del Sol","Prados Tepeyac, Jardines del Sol",FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99,99.19999695,0,99.80000305,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45050,6,0
77,060-C,Ciudad del Tepeyac,9002,4667,4335,2827,5857,5651,2555,3.52,,Rinconada Guadalupe,Residencial Moctezuma Poniente,Misión San Antonio,Guadalupe Sur,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,97.30000305,97.69999695,0.200000003,99.80000305,,"Oficina Nº 45021 ""Plaza Guadalupe"", Av. Manuel J. Clouthier Nº 168a, 3673 2355",-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,93,,6,0
78,061-H,Ciudad Granja,11135,5703,5407,2993,7556,7653,3565,4.1699999999999999,,Jocotán,Lomas del Colli,Sta. María del Pueblito,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,30,0,70,0,98.5,97.69999695,1.100000024,99.5,"Pretren, 39-A, 45, 380, 629 y 629-A.","Oficina Nº 45011 ""Ciudad Granja"", Circunvalación Nº 157, 3627 2983","Oficialía Nº 7, Av. Central Nº 40-A, entre Calzada Central Norte y Av. Vallarta (edificio de la Delegación), tel. 3673 6244, de lunes a viernes de  09:00 a 15:00 hrs., Lic. Marcela Brambila Iñiguez.","DELEGACIÓN: Av. Central Nº 40, Tel. 36272402 y 36272274, Delegado: Mario Hugo Ruiza Parra, Subdelegado: Tomás González Monte Mayor",Parque Funeral Colonias (Pivado) Dom. Av. Vallarta N° 7501 Tel 31-10-17-40 Encargado Arq. Cristian Quiñones,FALSO,FALSO,FALSO,95,45010,5A,0
80,0,Colegio del Aire,5150,2598,5248,1772,3278,3176,2101,3.8799999999999999,,Misión Jardines,Villas del Valle,Quintas del Valle,Villas del Aire,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,20,0,0,80,100,100,0,100,- Inexistente -,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45215,4,0
81,063-G,Colinas de Atemajac,3407,1747,1660,650,2524,2578,998,3.77,,"La Gusa, Ejido de Zapopan","Lomas de Atemajac, Zoquipan",Lomas del Batan,Habitacional Seattle,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,84,0,16,0,99.5,99.5,0,99.90000153,"19, 30-A, 640 por Zoquipan, 15, 622, 641 por Patria, 640 por E. Díaz de León.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45170,1B,1
82,064-K,Colinas de las Águilas,2417,1293,1124,487,1681,1802,822,2.9500000000000002,,Las Águilas,"Pinar de la Calma, Municipio de Tlaquepaque",Loma Bonita Ejidal,Las Águilas,FALSO,FALSO,VERDADERO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98.90000153,100,0,100,"624, 625, 258, 358",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45080,6,0
83,328-J,Colinas de la Primavera,5228,2593,2635,2293,2746,2571,1083,4.84,Sin datos,Jardines Tapatíos,Mirador del Bosque,Arenales Tapatíos,Lomas de la Primavera,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,80,10,0,5,85,7.800000191,15.10000038,71.59999847,96.30000305,51 Y 101,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45066,7,0
84,0,Colinas de los Belenes,275,110,126,124,145,130,80,3.6000000000000001,,Bosques del Centinela,,"La Joya, Jardines del Vergel",,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,"637 Por El Vergel, 380 Por periférico y 631.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,1B,0
85,0,Colinas de los Robles,2236,1142,1094,772,1404,1328,647,4.2199999999999998,,Hogares de Nuevo México,Bosque del Nixticuil,El Tigre II,Hogares de Nuevo México,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,0,95,5,100,100,0,100,635,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45134,3,0
86,065-F,Colinas de San Javier,1953,1052,901,347,1419,1508,597,4.1500000000000004,1956,"Priv. La Cueva, Municipio de Guadalajara",Lomas del Valle,Municipio de Guadalajara,San Wenceslao,FALSO,FALSO,FALSO,FALSO,Centro Cívico de la asociación de colonos. Domicilio: Paseo Vía Acueducto No. 1595,FALSO,FALSO,FALSO,100,100,0,0,0,95.09999847,97.5,0,99,"27, 27-A, 51-C",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45110,5B,0
87,066-L,Colinas de Tabachines,1256,637,619,370,827,823,286,4.2400000000000002,,"Lomas de Tabachines, Agua Fría",Constituyentes y Jardines del Porvenir,Balcones de la Cantera,Tabachines y Lomas de Tabachines,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,0,100,0,96.59999847,94.69999695,3.799999952,97,"142, 641 por Rubí-Cantera Morada-Tamarindo; 30 por Cantera Morada; 636-A por Cantera Morada y Tamarindo.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45185,1B,1
89,067-E,Colinas del Rey,2666,1332,1334,770,1846,1702,991,3.5699999999999998,,,Lomas de Zapopan. Fco. Villa,Francisco Villa,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98.5,99.59999847,0,99.59999847,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45130,3,0
90,0,Colinas del Río Blanco,0,0,0,0,0,0,0,0,,Bosque,Colinas del Río,Bosque,Bosque,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,80,20,0,0,0,0,- Inexistente -,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45180,3,0
91,068-J,Colli CTM,5923,3032,2891,1284,4381,4364,1542,2.9900000000000002,Abril de 1979,"Nueva Primavera, Villa Puerta del Sol",El Colli,Rinconada Santa Catalina,Colli Primavera,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99.19999695,99.59999847,0,99.90000153,"51, 59,101, 249, 632 y 640.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45056,6,0
93,070-G,Colli Primavera,1668,866,801,307,1237,1290,523,3.1299999999999999,Sin datos,"Primavera Norte, Nueva Primavera",El Colli,Colli CTM,Residencial Moctezuma Poniente,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,85,15,0,0,96.18000031,97.80000305,0,99.59999847,"101, 640, 51A, 51B, 59",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,45058,7,0
95,069-D,Colli Poblado (ó Colli Ejidal),1428,741,687,459,894,819,280,5.11,,Chapalita Inn,,"Colli Urbano, Haciendas del Tepeyac",Paraísos del Colli,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,90,0,0,10,96.80000305,97.5,0,99.59999847,"380, 51-A, 51-B, 101, 249 y 640.",-Inexistente-,,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45070,6,0
96,071-K,Colli Sitio,1491,740,751,404,987,1013,358,4.1600000000000001,,Rinconada Guadalupe,"Residencial Moctezuma Poniente, Hacienda del Tepeyac",Guadalupe Sur,Condominio Sevilla,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99,98.69999695,0,100,"59, 51-D, 249, 640 y línea Turqueza.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,45036,5A,0
97,072-F,Colli Urbano,9692,5000,4692,3203,6076,5762,2259,4.29,1974,,La Calma,,Arboledas,FALSO,VERDADERO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,VERDADERO,100,75,0,20,5,97.80000305,99,0.300000012,99.19999695,"1ra sección:: 632 y 55                          2da sección: 51-A, 51-B, 640, 101 y 629",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,89,45070,6,0
98,0,Condominio Coto Del Rey,0,0,0,0,0,0,0,0,,Casa Monarca,,,Rinconada Vallarta,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45010,5A,0
99,0,Condominio Navío La Calma,0,0,0,0,0,0,0,0,,Rinconada La Joya,Haciendas de la Calma,Rinconada de la Calma,La Calma,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45087,6,0
100,0,Conjunto Habitacional Hacienda Los Belenes,0,0,0,0,0,0,0,0,,Conjunto Laureles,Conjunto Zapopan,Paraísos,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,1B,0
101,261-D,Conjunto Habitacional U.A.G.,2459,1269,1190,599,1781,1692,715,3.4399999999999999,,Santa Margarita,Barranco,San Francisco,,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,46,0,50,4,99.80000305,99.80000305,0,100,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,,1A,0
103,073-L,Conjunto Laureles,2149,1075,1068,525,1435,1499,578,3.7200000000000002,,"Los Abetos, Conjunto San Gilberto, Prados de San Ignacio",,Villa Belenes,El Vigía,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,10,0,90,0,98.80000305,98.69999695,0,99.5,"19, 636 por Blvd Parres Arias",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,,1B,1
104,074-E,Conjunto Patria Residencial,844,467,377,178,617,604,212,3.91,,"La Hoja Verde, Ecológica Seatle.",Jacarandas,"Patria Ives, Villa San Jorge",El Capullo,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,20,80,0,0,96.19999695,95.69999695,0,99.5,"622, 633 y 175.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45160,1B,0
105,075-J,Conjunto Ritz,708,373,335,263,436,415,213,3.32,,Villas Alcalde,Municipio de Guadalajara,Municipio de Guadalajara,Atemajac del Valle,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,3,0,97,0,0,0,0,0,"13, 275 B, 54, 52, 52-A, 52-B, Ixcatán y Camachos.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,97,45190,1B,1
106,076-D,Conjunto San Gilberto,428,218,210,168,249,250,126,3.4,,Aves del Paraíso,Conjunto Laureles,"Núcleo Belenes, Industrial  Belenes",Prados de San Ignacio,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,96,96.80000305,0,99.19999695,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,92,45158,1B,1
107,077-I,Conjunto Zapopan,56,31,25,15,40,40,20,2.7999999999999998,,"Haciendas de los Belenes, Conjunto Laureles",,Oficinas de Inspección de Reglamentos,Mercado del Mar,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,100,0,0,90,90,0,95,Inexistente,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,98,,1B,0
