"","address","lat","lon"
"156","AV. SANTA MARGARITA,SANTA MARGARITA,Zapopan",20.7308744,-103.4131782
"157","LAZARO CARDENAS,ESTRADA LA,Zapopan",20.7941683,-103.4714191
"158","PERIFERICO,SAN JUAN DE OCOTAN,Zapopan",20.6871311,-103.4552231
"159","PERIFERICO,SAN JUAN DE OCOTAN,Zapopan",20.6871311,-103.4552231
"160","PERIFERICO,SANTA MARGARITA,Zapopan",20.7401426,-103.3874468
"161","PERIFERICO,SANTA MARGARITA,Zapopan",20.7401426,-103.3874468
"162","JUAREZ ,SANTA ANA TEPETITLAN,Zapopan",20.6241554,-103.4587054
"163","JUAREZ ,SANTA ANA TEPETITLAN,Zapopan",20.6241554,-103.4587054
"164","AV. DE LOS CEREZOS,TUZANIA LA,Zapopan",20.7350234,-103.4116676
"165","JOSE MARIA FONCERRADA Y G.,RESIDENCIAL PONIENTE,Zapopan",20.7278284,-103.4284314
"166","PUERTO CHAMELA,MIRAMAR,Zapopan",20.6364935,-103.4515449
"167","5 DE MAYO,SAN JUAN DE OCOTAN,Zapopan",20.7115989,-103.450317
"168","GRAL. PABLO QUIROGA,GUSA LA,Zapopan",20.7254124,-103.3666317
"169","5 DE MAYO,SAN JUAN DE OCOTAN,Zapopan",20.7115989,-103.450317
"170","FRANCISCO JAVIER MINA,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"171","PROFRA. IDOLINA GAONA DE COSIO,JARDINES DE NUEVO MEXICO,Zapopan",20.7552947,-103.4358244
"172","AV. VENUSTIANO CARRANZA,CONSTITUCION,Zapopan",20.7279763,-103.3719314
"173","AV. VENUSTIANO CARRANZA,CONSTITUCION,Zapopan",20.7279763,-103.3719314
"174","PLATINO,ARENALES TAPATIOS,Zapopan",20.6388869,-103.4657653
"175","RAFAEL SANZIO,CAMICHINES VALLARTA,Zapopan",20.6778076,-103.4292093
"176","MISION DE SANTO TOMAS,CHAPALITA INN,Zapopan",20.6594111,-103.442444
"177","AHUEHUETE,PARAISOS DEL COLLI,Zapopan",20.6493871,-103.4466412
"178","PINTORES,JARDINES TEPEYAC,Zapopan",20.6601785,-103.4196106
"179","AV. FEDERALISTAS,RINCONADA LAS PALMAS,Zapopan",20.7138937,-103.3994952
"180","RAFAEL SANZIO,CAMICHINES VALLARTA,Zapopan",20.6778076,-103.4292093
"181","AV. ADOLFO LOPEZ MATEOS,FUENTES LAS,Zapopan",20.6323168,-103.4153161
"182","LOMAS DEL INFANTE,LOMAS DE ATEMAJAC,Zapopan",20.7155903,-103.3616347
"183","AV. DE LA PATRIA,COLLI EL,Zapopan",20.6473747,-103.4219777
"184","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
"185","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
"186","16 DE SEPTIEMBRE,SAN JUAN DE OCOTAN,Zapopan",20.7113431,-103.4551728
"187","16 DE SEPTIEMBRE,SAN JUAN DE OCOTAN,Zapopan",20.7113431,-103.4551728
"188","AV. FEDERALISTAS,REAL DEL BOSQUE,Zapopan",20.7521218,-103.3916738
"189","AV. DE LA PATRIA,PLAZA PATRIA,Zapopan",20.6923658,-103.4153081
"190","JUPITER,PALMITA LA,Zapopan",20.7303509,-103.3563869
"191","BLVR. DEL VIGIA,VIGIA EL,Zapopan",20.6719563,-103.416501
"192","PLAYA BLANCA,RESIDENCIAL MOCTEZUMA,Zapopan",20.6511576,-103.4317517
"193","PROL. AV. GUADALUPE,PARAISOS DEL COLLI,Zapopan",20.6206499,-103.4180072
"194","AV. DE LAS AMERICAS,SAN MIGUEL DE LA COLINA,Zapopan",20.7156229,-103.3880656
"195","TURQUESA,MARIANO OTERO,Zapopan",20.6301472,-103.4468419
"196","AV. MARIANO OTERO,MARIANO OTERO,Zapopan",20.6299807,-103.4459941
"197","JORGE NOLASCO,MARTINICA LA,Zapopan",20.7512289,-103.3677881
"198","PLAN DE GUADALUPE,DIVISION DEL NORTE,Zapopan",20.7337234,-103.3543365
"199","ABEDUL,PARAISOS DEL COLLI,Zapopan",20.6515539,-103.4472688
